days,ctrl1,ctrl2,ctrl3,rt_8Gy1,rt_8Gy2,rt_8Gy3,rt_12Gy1,rt_12Gy2,rt_12Gy3
14,2.56E+05,1.03E+06,5.40E+05,2.59E+05,2.43E+05,5.56E+05,8.82E+05,3.42E+05,4.02E+05
28,8.57E+05,9.45E+05,1.88E+06,7.08E+05,7.28E+05,1.90E+06,1.41E+06,6.42E+05,1.62E+06
52,7.07E+05,1.71E+06,1.01E+06,4.65E+05,7.14E+05,1.64E+06,1.23E+06,4.55E+06,1.29E+06
60,7.88E+05,2.13E+06,1.29E+06,7.43E+05,4.28E+05,3.51E+06,2.17E+06,1.92E+06,8.38E+05
78,9.97E+05,3.60E+06,1.64E+06,1.31E+06,1.28E+06,4.17E+06,6.73E+06,8.80E+06,1.83E+06
107,6.57E+06,4.77E+06,3.13E+06,1.90E+07,1.62E+07,6.95E+07,2.09E+08,7.38E+07,2.43E+06
121,9.10E+07,7.44E+06,1.55E+07,1.20E+08,2.33E+08,7.01E+08,1.78E+09,1.28E+09,1.42E+07
159,2.98E+08,1.62E+07,4.04E+07,5.03E+08,5.22E+08,1.33E+09,,,5.77E+07
206,1.65E+09,1.28E+08,,1.70E+09,,,,,6.15E+08
238,3.98E+09,2.92E+08,,,,,,,1.19E+09