days,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,rt1,rt2,rt3,rt4,rt5
14,4.41E+05,2.07E+05,4.98E+05,2.29E+05,1.64E+06,3.16E+05,2.27E+05,3.70E+05,6.39E+05,1.48E+06
21,4.47E+05,3.07E+05,6.73E+05,4.59E+05,1.81E+06,4.83E+05,2.15E+05,3.05E+05,7.03E+05,2.84E+06
30,6.88E+05,4.26E+05,7.74E+05,6.45E+05,1.90E+06,5.54E+05,3.30E+05,7.77E+05,6.68E+05,1.51E+06
48,1.06E+06,3.98E+05,5.27E+05,7.74E+05,1.98E+06,1.04E+06,3.70E+05,1.55E+06,6.54E+05,1.65E+06
54,1.17E+06,4.49E+05,5.81E+05,6.97E+05,1.69E+06,9.97E+05,4.05E+05,1.10E+06,6.76E+05,1.24E+06
68,2.12E+06,8.58E+05,1.32E+06,2.24E+06,3.49E+06,2.94E+06,7.52E+05,1.90E+06,1.26E+06,2.37E+06
82,2.45E+06,9.56E+05,1.48E+06,1.87E+06,4.30E+06,6.49E+06,8.49E+05,3.92E+06,3.35E+06,4.22E+06
97,3.21E+06,1.20E+06,1.64E+06,1.93E+06,5.74E+06,3.96E+07,1.09E+06,5.38E+07,1.17E+07,1.26E+07
104,3.94E+06,2.29E+06,2.80E+06,2.08E+06,6.76E+06,1.06E+08,2.16E+06,1.48E+08,4.53E+07,2.70E+07
111,6.61E+06,3.44E+06,3.76E+06,1.93E+06,8.88E+06,2.12E+08,1.35E+06,3.98E+08,9.99E+07,7.00E+07
118,6.89E+06,5.54E+06,3.56E+06,1.58E+06,7.53E+06,2.27E+08,1.35E+06,5.18E+08,1.76E+08,1.29E+08
125,1.48E+07,1.25E+07,5.66E+06,1.93E+06,1.54E+07,4.81E+08,3.60E+06,9.34E+08,3.28E+08,2.94E+08
132,3.25E+07,1.37E+07,9.94E+06,2.55E+06,2.54E+07,5.14E+08,4.69E+06,1.32E+09,4.19E+08,3.50E+08
139,6.38E+07,2.64E+07,1.52E+07,4.56E+06,3.89E+07,9.18E+08,9.00E+06,2.27E+09,9.14E+08,4.92E+08
146,8.08E+07,3.52E+07,2.17E+07,6.52E+06,4.26E+07,1.49E+09,1.51E+07,3.38E+09,1.17E+09,5.27E+08
153,1.91E+08,3.02E+07,2.81E+07,6.18E+06,7.09E+07,9.56E+08,1.41E+07,,1.09E+09,7.53E+08
160,2.95E+08,3.36E+07,4.29E+07,7.25E+06,1.02E+08,1.84E+09,3.25E+07,,2.12E+09,1.41E+09
167,3.79E+08,3.65E+07,5.86E+07,9.43E+06,1.55E+08,1.55E+09,3.43E+07,,1.80E+09,1.42E+09
174,4.02E+08,5.43E+07,8.34E+07,1.87E+07,1.71E+08,,7.66E+07,,,
181,6.67E+08,6.92E+07,9.18E+07,4.21E+07,2.46E+08,,7.84E+07,,,
188,1.11E+09,1.17E+08,1.84E+08,5.46E+07,4.35E+08,,8.83E+07,,,
195,9.81E+08,1.29E+08,1.94E+08,6.38E+07,4.86E+08,,1.57E+08,,,
202,1.21E+09,1.62E+08,2.64E+08,7.81E+07,5.30E+08,,2.03E+08,,,
209,1.36E+09,2.04E+08,3.36E+08,1.11E+08,5.90E+08,,1.90E+08,,,
216,1.72E+09,4.21E+08,4.75E+08,1.85E+08,1.01E+09,,3.21E+08,,,
229,1.26E+09,3.85E+08,2.40E+08,2.48E+08,7.68E+08,,2.30E+08,,,
238,1.64E+09,7.35E+08,6.00E+08,,1.15E+09,,,,,
244,2.18E+09,8.29E+08,7.63E+08,,1.39E+09,,,,,
251,2.04E+09,9.92E+08,6.47E+08,,1.47E+09,,,,,
264,2.02E+09,9.91E+08,,,1.70E+09,,,,,
271,,1.09E+09,,,1.74E+09,,,,,
285,,9.10E+08,,,1.20E+09,,,,,