days,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,ctrl7,ctrl8,ctrl9,ctrl10,ctrl11,ctrl12,ctrl13,ctrl14,ctrl15,ctrl16,ctrl17,ctrl18,ctrl19,ctrl20,ctrl21
0,2.30E+06,1.89E+06,1.87E+06,6.90E+05,7.35E+05,1.18E+06,4.19E+05,5.30E+05,3.58E+05,2.26E+05,1.91E+05,1.69E+05,5.07E+05,5.07E+06,6.67E+06,6.03E+06,1.07E+07,1.28E+07,1.65E+07,7.38E+06,5.65E+06
8,9.60E+06,4.62E+06,4.93E+06,9.72E+06,2.21E+06,4.32E+06,4.09E+06,2.07E+06,6.02E+05,3.44E+05,2.13E+05,6.53E+05,1.19E+06,1.31E+07,7.51E+06,7.47E+06,1.67E+07,2.53E+07,9.25E+06,6.70E+06,4.09E+06
13,4.43E+07,1.52E+07,7.50E+07,1.30E+08,1.84E+07,3.05E+07,4.02E+07,4.89E+07,3.40E+06,1.46E+06,1.35E+06,1.24E+06,4.93E+06,1.29E+07,1.79E+07,3.14E+07,2.17E+07,1.37E+07,5.84E+07,2.12E+07,2.90E+07
21,1.82E+08,1.06E+08,3.98E+08,4.03E+08,9.00E+07,1.84E+08,2.51E+08,1.36E+08,1.48E+07,7.96E+06,6.91E+06,7.02E+06,2.07E+07,1.20E+07,3.84E+07,1.31E+07,3.93E+07,1.51E+08,4.78E+07,4.20E+07,3.06E+07
28,3.20E+08,1.11E+08,1.03E+09,,3.00E+08,1.94E+08,9.80E+08,1.27E+08,3.71E+07,1.35E+07,7.92E+06,2.47E+06,6.35E+07,6.20E+07,6.61E+07,6.22E+07,9.11E+10,5.87E+08,1.92E+08,1.28E+07,1.29E+08
35,,3.42E+08,6.48E+08,,1.19E+09,,2.60E+09,1.27E+08,3.71E+07,1.35E+07,7.92E+06,2.47E+06,6.35E+05,6.53E+07,6.37E+07,8.26E+07,7.86E+07,1.01E+09,2.41E+08,8.97E+07,2.12E+08
42,,,,,2.18E+09,,3.51E+09,3.87E+08,1.92E+08,1.44E+08,9.54E+07,1.19E+08,5.63E+08,1.06E+07,6.13E+08,1.76E+08,1.80E+08,1.97E+09,1.87E+09,2.80E+08,3.97E+08
49,,,,,,,,,,,2.21E+08,2.70E+08,7.08E+08,1.16E+08,,2.31E+08,2.17E+08,2.76E+09,2.29E+09,3.33E+08,6.25E+08
56,,,,,,,,,,,2.67E+08,,,2.26E+08,,1.68E+08,3.35E+08,4.76E+09,3.94E+09,9.32E+08,3.05E+08
,,,,,,,,,,,,,,9.70E+07,,6.22E+08,5.58E+08,3.93E+09,,6.71E+08,2.43E+09
,,,,,,,,,,,,,,7.32E+08,,,,,,,3.96E+09